"time","quarter","realgdp","prev_year_gdp","percent_change","buildings for seasonal and secondary use","multi-dwelling buildings excluding service dwellings","one- or two-dwelling buildings","service dwellings for the elderly and dwellings for students, special dwellings","allpermits","Real estate price index","yearly_change"
1993-01-01,1,646312,NA,NA,NA,NA,NA,NA,NA,198,-0.146551724137931
1993-04-01,2,672968,NA,NA,NA,NA,NA,NA,NA,205,-0.104803493449782
1993-07-01,3,623774,NA,NA,NA,NA,NA,NA,NA,205,-0.0969162995594714
1993-10-01,4,722400,NA,NA,NA,NA,NA,NA,NA,207,-0.018957345971564
1994-01-01,1,662611,646312,0.0252184703363082,NA,NA,NA,NA,NA,208,0.0505050505050505
1994-04-01,2,686735,672968,0.020457139121028,NA,NA,NA,NA,NA,214,0.0439024390243902
1994-07-01,3,620423,623774,-0.00537213798587309,NA,NA,NA,NA,NA,219,0.0682926829268293
1994-10-01,4,732952,722400,0.0146068660022148,NA,NA,NA,NA,NA,216,0.0434782608695652
1995-01-01,1,668321,662611,0.00861742409950936,NA,NA,NA,NA,NA,206,-0.00961538461538462
1995-04-01,2,690914,686735,0.0060853167524591,NA,NA,NA,NA,NA,218,0.0186915887850467
1995-07-01,3,637792,620423,0.0279954160306758,NA,NA,NA,NA,NA,218,-0.0045662100456621
1995-10-01,4,758534,732952,0.0349026948558705,NA,NA,NA,NA,NA,213,-0.0138888888888889
1996-01-01,1,715767,668321,0.070992831289156,299,1050,670,1138,3157,215,0.0436893203883495
1996-04-01,2,723521,690914,0.0471940067794255,709,1159,1138,659,3665,222,0.018348623853211
1996-07-01,3,658554,637792,0.0325529326175305,393,1042,667,1125,3227,220,0.00917431192660551
1996-10-01,4,777115,758534,0.0244959355810023,377,1683,1092,418,3570,216,0.0140845070422535
1997-01-01,1,711939,715767,-0.00534810909136632,338,403,808,183,1732,216,0.00465116279069767
1997-04-01,2,742299,723521,0.0259536350707167,690,1926,1469,1025,5110,229,0.0315315315315315
1997-07-01,3,687482,658554,0.0439265420907018,352,957,1110,460,2879,230,0.0454545454545455
1997-10-01,4,799480,777115,0.0287795242660353,339,1813,1694,607,4453,229,0.0601851851851852
1998-01-01,1,745809,711939,0.0475743006072149,315,618,1276,696,2905,236,0.0925925925925926
1998-04-01,2,768275,742299,0.0349939849036574,597,1176,1745,516,4034,245,0.0698689956331878
1998-07-01,3,703458,687482,0.0232384266060784,384,1108,1448,569,3509,254,0.104347826086957
1998-10-01,4,814864,799480,0.0192425076299595,283,2225,1723,675,4906,243,0.0611353711790393
1999-01-01,1,765460,745809,0.0263485691376747,322,599,1568,473,2962,241,0.0211864406779661
1999-04-01,2,791181,768275,0.029814844944844,725,1082,2444,1090,5341,272,0.110204081632653
1999-07-01,3,731635,703458,0.0400549855144159,345,1479,1718,721,4263,274,0.078740157480315
1999-10-01,4,848377,814864,0.0411271083272792,373,1375,2013,685,4446,272,0.119341563786008
2000-01-01,1,799823,765460,0.044891960389831,384,1158,2029,679,4250,272,0.128630705394191
2000-04-01,2,814505,791181,0.0294799799287394,680,2187,2619,809,6295,305,0.121323529411765
2000-07-01,3,739479,731635,0.0107211929445694,382,1199,1829,460,3870,315,0.14963503649635
2000-10-01,4,862650,848377,0.0168238884363909,391,2093,2033,1360,5877,313,0.150735294117647
2001-01-01,1,812933,799823,0.0163911265367463,436,2861,1901,1349,6547,315,0.158088235294118
2001-04-01,2,839261,814505,0.0303939202337616,621,2321,2175,1441,6558,340,0.114754098360656
2001-07-01,3,763122,739479,0.0319725103755482,388,1779,1457,1183,4807,340,0.0793650793650794
2001-10-01,4,883573,862650,0.0242543325798412,349,2103,1734,1669,5855,334,0.0670926517571885
2002-01-01,1,822972,812933,0.0123491111813643,334,1627,1685,899,4545,336,0.0666666666666667
2002-04-01,2,847206,839261,0.00946666174169895,625,2322,2264,782,5993,364,0.0705882352941176
2002-07-01,3,762913,763122,-0.000273874950532156,413,1581,1747,532,4273,356,0.0470588235294118
2002-10-01,4,881418,883573,-0.0024389609007971,332,1936,2046,1296,5610,365,0.092814371257485
2003-01-01,1,817316,822972,-0.00687265180346354,373,2685,2229,1049,6336,361,0.0744047619047619
2003-04-01,2,829473,847206,-0.0209311548785065,686,3123,3135,1424,8368,373,0.0247252747252747
2003-07-01,3,759288,762913,-0.00475152474790703,424,2192,2007,1209,5832,389,0.0926966292134832
2003-10-01,4,871040,881418,-0.0117742092854922,430,3162,2517,651,6760,394,0.0794520547945206
2004-01-01,1,825437,817316,0.00993618135458011,438,3025,2747,483,6693,384,0.0637119113573407
2004-04-01,2,821939,829473,-0.00908287551252422,715,3724,3256,1182,8877,414,0.109919571045576
2004-07-01,3,762145,759288,0.00376273561547134,434,2971,2357,409,6171,427,0.0976863753213368
2004-10-01,4,832867,871040,-0.0438246234386481,399,4862,2878,469,8608,431,0.0939086294416244
2005-01-01,1,781297,825437,-0.053474704913882,385,3825,2466,973,7649,409,0.0651041666666667
2005-04-01,2,804558,821939,-0.0211463381102491,804,4232,4012,1077,10125,448,0.0821256038647343
2005-07-01,3,740255,762145,-0.0287215687303597,501,3835,2660,389,7385,475,0.112412177985948
2005-10-01,4,857034,832867,0.0290166377104628,485,5862,3577,1359,11283,490,0.136890951276102
2006-01-01,1,808390,781297,0.0346769538344573,466,3778,3491,445,8180,466,0.139364303178484
2006-04-01,2,833232,804558,0.0356394442662928,952,7421,4075,221,12669,524,0.169642857142857
2006-07-01,3,762778,740255,0.0304260018507136,513,5241,2767,464,8985,535,0.126315789473684
2006-10-01,4,906572,857034,0.0578016741459499,556,11517,4433,1374,17880,527,0.0755102040816327
2007-01-01,1,856254,808390,0.0592090451391036,624,2714,3247,231,6816,510,0.0944206008583691
2007-04-01,2,868005,833232,0.0417326746932427,910,4323,4484,981,10698,584,0.114503816793893
2007-07-01,3,788830,762778,0.0341541051262622,574,3194,2833,119,6720,599,0.119626168224299
2007-10-01,4,933447,906572,0.0296446393667574,532,2948,3287,349,7116,597,0.132827324478178
2008-01-01,1,877775,856254,0.0251338971847139,531,3788,2981,504,7804,556,0.0901960784313725
2008-04-01,2,877540,868005,0.0109849597640567,896,2642,3352,529,7419,606,0.0376712328767123
2008-07-01,3,805803,788830,0.0215166765969854,449,1924,2193,271,4837,620,0.0350584307178631
2008-10-01,4,944172,933447,0.0114896721506417,372,3889,2373,469,7103,580,-0.0284757118927973
2009-01-01,1,866551,877775,-0.0127868759078352,399,3263,1719,196,5577,554,-0.00359712230215827
2009-04-01,2,921313,877540,0.0498814868837888,732,2469,2679,484,6364,618,0.0198019801980198
2009-07-01,3,838503,805803,0.040580638195688,527,2365,1886,312,5090,638,0.0290322580645161
2009-10-01,4,986360,944172,0.0446825366564567,576,3228,2649,355,6808,651,0.122413793103448
2010-01-01,1,911956,866551,0.0523973776500171,510,3952,2633,225,7320,621,0.120938628158845
2010-04-01,2,947638,921313,0.0285733512932087,812,4612,2933,990,9347,676,0.0938511326860841
2010-07-01,3,876583,838503,0.0454142680467452,464,3334,2375,432,6605,680,0.0658307210031348
2010-10-01,4,1029940,986360,0.0441826513646133,493,4076,2850,407,7826,673,0.0337941628264209
2011-01-01,1,947799,911956,0.0393034313058963,563,4602,2460,910,8535,655,0.0547504025764895
2011-04-01,2,988630,947638,0.04325702430675,848,5905,2710,583,10046,685,0.0133136094674556
2011-07-01,3,914642,876583,0.0434174516275127,523,3185,1544,664,5916,672,-0.0117647058823529
2011-10-01,4,1073265,1029940,0.0420655572169253,544,5001,1693,361,7599,653,-0.0297176820208024
2012-01-01,1,988294,947799,0.0427253035717489,388,3414,1633,682,6117,616,-0.0595419847328244
2012-04-01,2,1044139,988630,0.0561473958912839,610,5001,1761,518,7890,654,-0.0452554744525547
2012-07-01,3,961524,914642,0.0512572132047293,348,3732,1544,156,5780,663,-0.0133928571428571
2012-10-01,4,1112120,1073265,0.0362026153838987,421,5144,1660,760,7985,637,-0.0245022970903522
2013-01-01,1,1028913,988294,0.0411001179810866,498,5183,1584,816,8081,588,-0.0454545454545455
2013-04-01,2,1052520,1044139,0.00802670908758317,591,5775,1989,1422,9777,667,0.0198776758409786
2013-07-01,3,967152,961524,0.0058532080322488,411,5462,1724,466,8063,663,0
2013-10-01,4,1113368,1112120,0.00112218105959789,442,7313,1810,1066,10631,666,0.0455259026687598
2014-01-01,1,1036919,1028913,0.0077810271616745,466,5265,1955,1293,8979,660,0.122448979591837
2014-04-01,2,1094299,1052520,0.0396942575913047,564,6094,2865,2031,11554,713,0.0689655172413793
2014-07-01,3,993300,967152,0.0270360811950965,442,8593,2312,1400,12747,710,0.0708898944193062
2014-10-01,4,1132233,1113368,0.0169440831782483,434,7397,2690,1124,11645,719,0.0795795795795796
2015-01-01,1,1061790,1036919,0.0239854800616056,411,7373,2543,1654,11981,751,0.137878787878788
2015-04-01,2,1100797,1094299,0.00593804801064426,764,10423,3617,2530,17334,777,0.0897615708274895
2015-07-01,3,1014399,993300,0.0212413168227122,646,7840,2570,1262,12318,792,0.115492957746479
2015-10-01,4,1159835,1132233,0.0243783744158667,544,12264,3062,2012,17882,794,0.104311543810848
2016-01-01,1,1097898,1061790,0.0340067244935439,618,8558,3221,1243,13640,734,-0.0226364846870839
2016-04-01,2,1150934,1100797,0.0455460906961047,874,12534,4486,2945,20839,827,0.0643500643500644
2016-07-01,3,1054710,1014399,0.0397388010043385,613,9869,2884,792,14158,830,0.047979797979798
2016-10-01,4,1214541,1159835,0.0471670539343958,608,14465,4088,1846,21007,840,0.0579345088161209
2017-01-01,1,1112169,1097898,0.0129984752681943,757,13466,3487,2258,19968,823,0.12125340599455
2017-04-01,2,1193594,1150934,0.0370655485023468,996,16575,3744,2971,24286,901,0.0894800483675937
2017-07-01,3,1089060,1054710,0.0325681941007481,636,9452,3209,1533,14830,911,0.0975903614457831
2017-10-01,4,1249457,1214541,0.0287483090319717,583,11269,3696,1506,17054,901,0.0726190476190476
2018-01-01,1,1177387,1112169,0.0586403685051462,519,8782,3029,1346,13676,831,0.00972053462940462
2018-04-01,2,1238322,1193594,0.0374733787200673,813,10767,3333,3348,18261,911,0.0110987791342952
2018-07-01,3,1133553,1089060,0.0408544983747452,543,8830,2322,1649,13344,891,-0.021953896816685
2018-10-01,4,1312189,1249457,0.050207410098947,582,14816,3037,2860,21295,882,-0.0210876803551609
2019-01-01,1,1223857,1177387,0.0394687558126597,638,7496,3151,2264,13549,815,-0.0192539109506619
2019-04-01,2,1282028,1238322,0.0352945356700438,937,11349,3462,1265,17013,929,0.0197585071350165
2019-07-01,3,1165774,1133553,0.0284247847255488,568,9275,2794,2179,14816,932,0.0460157126823793
2019-10-01,4,1346567,1312189,0.0261989698130376,575,8998,2632,1049,13254,924,0.0476190476190476
2020-01-01,1,1236942,1223857,0.0106916085784532,704,9581,3141,2042,15468,885,0.0858895705521472
2020-04-01,2,1306073,1282028,0.0187554405988013,823,14061,3461,2224,20569,1001,0.077502691065662
2020-07-01,3,1160995,1165774,-0.00409942235802137,628,10655,2896,1567,15746,1026,0.100858369098712
2020-10-01,4,1267892,1346567,-0.0584263538316326,782,12015,3582,2597,18976,1040,0.125541125541126
2021-01-01,1,1158250,1236942,-0.0636181809656395,993,11340,4011,1317,17661,1054,0.190960451977401
2021-04-01,2,1224712,1306073,-0.0622943740510676,1583,16350,4908,1052,23893,1180,0.178821178821179
2021-07-01,3,1110149,1160995,-0.0437951929164208,944,11958,3457,1124,17483,1225,0.193957115009747
2021-10-01,4,1267206,1267892,-0.00054105554731791,809,17697,4234,2591,25331,1188,0.142307692307692
2022-01-01,1,1183675,1158250,0.0219512195121951,1191,11415,3793,977,17376,1144,0.0853889943074004
2022-04-01,2,1294257,1224712,0.0567847787888091,1139,14091,4108,1654,20992,1233,0.0449152542372881
2022-07-01,3,1189419,1110149,0.0714048294418137,882,8970,2942,824,13618,1221,-0.00326530612244898
2022-10-01,4,1366720,1267206,0.0785302468580483,575,9383,2568,725,13251,1115,-0.0614478114478114
2023-01-01,1,1266523,1183675,0.0699921853549327,461,4568,2198,452,7679,964,-0.157342657342657
2023-04-01,2,1340546,1294257,0.035764921495499,588,6970,1746,1185,10489,1111,-0.0989456609894566
2023-07-01,3,1229128,1189419,0.0333852073995791,424,3399,1179,1188,6190,1119,-0.0835380835380835
2023-10-01,4,1357146,1366720,-0.00700509248419574,423,4359,1467,1883,8132,1076,-0.0349775784753363
2024-01-01,1,1268796,1266523,0.00179467723839204,411,4746,1331,2041,8529,1024,0.0622406639004149
2024-04-01,2,1329374,1340546,-0.00833391767235142,564,5746,1649,1316,9275,1103,-0.0072007200720072
2024-07-01,3,1215832,1229128,-0.0108174250362859,430,3674,1371,444,5919,1104,-0.0134048257372654
2024-10-01,4,1357819,1357146,0.000495893588456953,359,5541,1517,932,8349,1097,0.0195167286245353
2025-01-01,1,1263815,1268796,-0.00392576899674967,431,5221,1521,1003,8176,1003,-0.0205078125
2025-04-01,2,1343374,1329374,0.0105312726140274,NA,NA,NA,NA,NA,NA,NA
2025-07-01,3,1228540,1215832,0.0104521019351358,NA,NA,NA,NA,NA,NA,NA
2025-10-01,4,1394930,1357819,0.027331330611812,NA,NA,NA,NA,NA,NA,NA
2026-01-01,1,1292785,1263815,0.0229226587752163,NA,NA,NA,NA,NA,NA,NA
2026-04-01,2,1372917,1343374,0.0219916419403681,NA,NA,NA,NA,NA,NA,NA
2026-07-01,3,1258944,1228540,0.0247480749507546,NA,NA,NA,NA,NA,NA,NA
2026-10-01,4,1426098,1394930,0.0223437735226857,NA,NA,NA,NA,NA,NA,NA
2027-01-01,1,1329584,1292785,0.0284649032901836,NA,NA,NA,NA,NA,NA,NA
2027-04-01,2,1447382,1372917,0.0542385300786573,NA,NA,NA,NA,NA,NA,NA
2027-07-01,3,1306539,1258944,0.0378054941284124,NA,NA,NA,NA,NA,NA,NA
2027-10-01,4,1502042,1426098,0.0532530022480923,NA,NA,NA,NA,NA,NA,NA
2028-01-01,1,1361283,1329584,0.023841291712295,NA,NA,NA,NA,NA,NA,NA
2028-04-01,2,1482470,1447382,0.0242423907441159,NA,NA,NA,NA,NA,NA,NA
2028-07-01,3,1329268,1306539,0.0173963425508156,NA,NA,NA,NA,NA,NA,NA
2028-10-01,4,1531564,1502042,0.0196545769026432,NA,NA,NA,NA,NA,NA,NA
2029-01-01,1,1420128,1361283,0.0432276021958696,NA,NA,NA,NA,NA,NA,NA
2029-04-01,2,1487317,1482470,0.00326954339716824,NA,NA,NA,NA,NA,NA,NA
2029-07-01,3,1348075,1329268,0.0141483884363424,NA,NA,NA,NA,NA,NA,NA
2029-10-01,4,1556473,1531564,0.0162637669728461,NA,NA,NA,NA,NA,NA,NA
2030-01-01,1,1437779,1420128,0.0124291613150364,NA,NA,NA,NA,NA,NA,NA
2030-04-01,2,1523799,1487317,0.0245287319381141,NA,NA,NA,NA,NA,NA,NA
2030-07-01,3,1367972,1348075,0.0147595645642861,NA,NA,NA,NA,NA,NA,NA
2030-10-01,4,1585330,1556473,0.0185399939478552,NA,NA,NA,NA,NA,NA,NA
2031-01-01,1,1467575,1437779,0.0207236299876407,NA,NA,NA,NA,NA,NA,NA
2031-04-01,2,1556234,1523799,0.0212856157537838,NA,NA,NA,NA,NA,NA,NA
2031-07-01,3,1411066,1367972,0.0315021067682672,NA,NA,NA,NA,NA,NA,NA
2031-10-01,4,1634279,1585330,0.0308762213545445,NA,NA,NA,NA,NA,NA,NA
2032-01-01,1,1509029,1467575,0.0282465972778223,NA,NA,NA,NA,NA,NA,NA
2032-04-01,2,1444842,1556234,-0.0715779246565748,NA,NA,NA,NA,NA,NA,NA
2032-07-01,3,1388362,1411066,-0.0160899631909493,NA,NA,NA,NA,NA,NA,NA
2032-10-01,4,1609556,1634279,-0.0151277719410211,NA,NA,NA,NA,NA,NA,NA
2033-01-01,1,1511145,1509029,0.00140222619976157,NA,NA,NA,NA,NA,NA,NA
2033-04-01,2,1606954,1444842,0.112200503584475,NA,NA,NA,NA,NA,NA,NA
2033-07-01,3,1447077,1388362,0.0422908434543729,NA,NA,NA,NA,NA,NA,NA
2033-10-01,4,1697645,1609556,0.054728757495856,NA,NA,NA,NA,NA,NA,NA
2034-01-01,1,1552996,1511145,0.0276948936071654,NA,NA,NA,NA,NA,NA,NA
2034-04-01,2,1630351,1606954,0.0145598442768119,NA,NA,NA,NA,NA,NA,NA
2034-07-01,3,1477280,1447077,0.020871729700631,NA,NA,NA,NA,NA,NA,NA
2034-10-01,4,1680820,1697645,-0.00991078818009655,NA,NA,NA,NA,NA,NA,NA
2035-01-01,1,1572881,1552996,0.0128042828185005,NA,NA,NA,NA,NA,NA,NA
2035-04-01,2,1603662,1630351,-0.0163700945379247,NA,NA,NA,NA,NA,NA,NA
2035-07-01,3,1473485,1477280,-0.00256891042997942,NA,NA,NA,NA,NA,NA,NA
2035-10-01,4,1678479,1680820,-0.00139277257529063,NA,NA,NA,NA,NA,NA,NA
2036-01-01,1,1564633,1572881,-0.00524388049699882,NA,NA,NA,NA,NA,NA,NA
2036-04-01,2,1621993,1603662,0.0114307129557226,NA,NA,NA,NA,NA,NA,NA
2036-07-01,3,1495978,1473485,0.0152651706668205,NA,NA,NA,NA,NA,NA,NA
2036-10-01,4,1709749,1678479,0.0186299620072697,NA,NA,NA,NA,NA,NA,NA
2037-01-01,1,1570555,1564633,0.00378491313937518,NA,NA,NA,NA,NA,NA,NA
